name,predicted_categorie,total_weighted_score,num_reviews,average_score,label
"Amazon Fire Tv Kindle Dx Leather Cover, Black (fits 9.7 Display, Latest and 2nd Generation Kindle Dxs)"",,",Amazon Echo White,5,1,5.0,best
Echo (Black) Echo (Black),Amazon Echo White,15,3,5.0,best
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Amazon Echo White,30,6,5.0,best
"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Amazon Echo White,329,67,4.91044776119403,worst
Echo (White) Echo (White),Amazon Echo White,16031,3309,4.844666062254458,worst
"Kindle Dx Leather Cover, Black (fits 9.7 Display, Latest and 2nd Generation Kindle Dxs),,",Amazon Echo White,43,9,4.777777777777778,worst
"Amazon Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",Amazon Fire Kids Edition,29,6,4.833333333333333,best
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon Fire Kids Edition,8114,1685,4.815430267062315,best
Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,Amazon Fire Kids Edition,4964,1033,4.805421103581801,best
"Amazon Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",Amazon Fire Kids Edition,29,6,4.833333333333333,worst
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon Fire Kids Edition,8114,1685,4.815430267062315,worst
Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,Amazon Fire Kids Edition,4964,1033,4.805421103581801,worst
"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum",Amazon Fire Tablet,632,128,4.9375,best
Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,Amazon Fire Tablet,659,135,4.881481481481481,best
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Amazon Fire Tablet,1778,368,4.831521739130435,best
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Amazon Fire Tablet,52133,10962,4.755792738551359,worst
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Amazon Fire Tablet,687,146,4.705479452054795,worst
"Echo (White) Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Tangerine""",Amazon Fire Tablet,4,1,4.0,worst
Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st) Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st),Amazon Fire Tv,5,1,5.0,best
